student_id,course_id,semester,exam_score,co_score,co_attainment_rate
STU058,CS201,Spring2025,67.7,72.5,0.7
STU059,MEC101,Spring2025,52.4,54.0,0.65
STU060,BUS101,Spring2024,50.9,41.6,0.71
STU061,CS101,Fall2024,45.2,53.5,0.81
STU062,ENG201,Spring2024,75.8,85.1,0.67
STU063,PHY101,Fall2024,32.4,38.7,0.88
STU064,MEC101,Spring2025,86.8,84.2,0.41
STU065,CS201,Fall2023,39.4,51.3,0.66
STU066,BUS101,Spring2025,93.0,85.4,0.76
STU067,MEC101,Spring2025,85.4,100,0.92
STU068,EEE101,Fall2023,70.7,82.3,0.74
STU069,MATH301,Spring2024,45.3,50.8,0.81
STU070,CHM101,Fall2023,58.2,46.2,0.64
STU071,CS101,Fall2024,75.1,87.2,0.84
STU072,CS201,Spring2024,49.1,45.3,0.69
STU073,CS201,Spring2024,66.8,75.6,0.44
STU074,MATH201,Spring2025,86.6,89.2,0.9
STU075,MATH301,Spring2025,39.3,41.2,0.54
STU076,MATH301,Spring2024,30.6,42.6,0.44
STU077,MATH301,Spring2025,91.4,99.7,0.78
STU078,ENG201,Spring2025,59.7,53.8,0.46
STU079,MATH301,Fall2024,54.8,50.6,0.41
STU080,CS101,Fall2023,84.0,80.9,0.9
STU081,MATH301,Spring2024,78.4,88.4,0.73
STU082,PHY101,Fall2024,52.9,57.0,0.77
STU083,CS201,Fall2023,76.9,81.7,0.9
STU084,EEE101,Fall2023,72.0,66.3,0.72
STU085,MATH301,Fall2024,77.6,65.3,0.81
STU086,MEC101,Fall2024,41.4,33.5,0.69
STU087,MATH301,Spring2025,89.4,95.7,0.93
STU088,CS102,Spring2025,49.2,60.3,0.93
STU089,CHM101,Spring2025,39.1,53.3,0.93
STU090,ENG201,Fall2023,82.3,78.3,1.0
STU091,BUS101,Fall2024,38.0,38.5,0.72
STU092,CS102,Spring2024,83.5,96.7,0.66
STU093,ENG101,Spring2024,70.3,83.6,0.76
STU094,BUS101,Fall2024,71.3,70.2,0.76
STU095,CS101,Fall2024,37.6,31.0,0.95
STU096,MEC101,Spring2024,37.5,35.3,0.61
STU097,BUS101,Spring2025,54.1,67.6,0.72
STU098,CHM101,Fall2023,77.2,88.8,0.86
STU099,MATH301,Fall2023,70.0,83.2,0.78
STU100,MATH201,Fall2024,44.1,42.9,0.45
STU101,CHM101,Fall2024,74.6,75.9,0.43
STU102,EEE101,Fall2023,47.9,61.9,0.76
STU103,CS101,Fall2023,71.7,74.6,0.83
STU104,PHY101,Spring2024,45.8,34.6,0.44
STU105,MATH201,Spring2024,79.7,70.9,0.58
STU106,CS101,Fall2024,39.6,77.6,0.87
STU107,MATH301,Spring2024,39.4,33.2,0.46
STU108,ENG101,Spring2024,86.3,75.1,0.72
STU109,CS201,Spring2025,31.0,34.2,0.69
STU110,ENG101,Fall2023,78.5,77.8,0.65
STU111,BUS101,Fall2024,44.4,48.1,0.65
STU112,EEE101,Spring2025,92.7,79.1,0.63
STU113,EEE101,Fall2023,37.0,45.7,0.89
STU114,CS201,Fall2024,50.9,40.4,0.74
STU115,ENG201,Fall2024,68.0,74.4,0.65
STU116,BUS101,Fall2023,69.4,57.4,0.87
STU117,BUS101,Spring2024,72.3,80.4,0.64
STU118,EEE101,Spring2025,87.7,84.0,0.63
STU119,CHM101,Fall2024,36.2,39.0,0.61
STU120,CS102,Fall2023,39.9,53.0,0.86
STU121,BUS101,Fall2024,36.1,32.0,0.85
STU122,MEC101,Fall2024,66.2,68.8,0.77
STU123,ENG201,Fall2023,56.7,67.9,1.0
STU124,PHY101,Spring2024,69.0,64.5,0.49
STU125,ENG101,Fall2024,61.3,71.7,0.46
STU126,ENG201,Fall2023,48.1,39.9,1.0
STU127,CS101,Spring2024,72.8,78.6,0.55
STU128,ENG101,Fall2023,79.6,92.2,0.5
STU129,CS102,Spring2024,39.3,46.0,0.81
STU130,MEC101,Spring2024,93.2,80.2,0.61
STU131,MATH301,Fall2024,59.5,49.2,0.83
STU132,CS101,Spring2024,66.9,54.4,0.49
STU133,MATH301,Spring2025,70.2,98.3,0.76
STU134,MATH301,Spring2024,61.6,59.9,0.82
STU135,MATH301,Spring2025,37.4,39.6,0.69
STU136,PHY101,Fall2023,50.0,41.6,0.4
STU137,CS201,Fall2024,49.6,40.9,0.56
STU138,ENG201,Spring2024,37.8,41.3,0.47
STU139,MEC101,Fall2024,64.6,56.5,0.44
STU140,CS101,Spring2025,86.0,72.2,0.91
STU141,PHY101,Spring2025,86.0,87.7,0.79
STU142,CS101,Fall2024,57.2,45.7,0.49
STU143,BUS101,Fall2024,91.6,87.4,0.45
STU144,PHY101,Spring2025,84.9,77.2,0.69
STU145,ENG101,Spring2024,55.7,50.0,0.58
STU146,CS102,Spring2024,40.9,43.2,0.9
STU147,CHM101,Spring2024,52.7,59.5,0.53
STU148,PHY101,Spring2024,39.5,34.8,0.82
STU149,CHM101,Spring2025,72.6,62.9,0.66
STU150,CHM101,Fall2024,66.6,69.0,0.88
STU151,CS102,Spring2025,70.8,60.3,0.64
STU152,CS101,Fall2024,49.7,42.9,0.68
STU153,CS101,Fall2024,50.2,48.8,0.86
STU154,CS102,Spring2025,35.0,47.3,0.65
STU155,CS101,Spring2025,66.0,74.8,0.9
STU156,PHY101,Spring2025,67.2,57.8,0.68
STU157,ENG101,Fall2023,92.3,87.5,0.68
STU158,EEE101,Spring2025,41.2,36.5,0.69
STU159,MATH301,Spring2025,69.6,65.5,0.62
STU160,CHM101,Fall2024,52.0,54.9,0.44
STU161,MATH301,Fall2024,36.1,44.3,0.8
STU162,CS201,Fall2024,72.7,84.9,0.44
STU163,MATH301,Spring2025,73.1,85.6,0.47
STU164,MEC101,Spring2025,76.1,63.6,0.75
STU165,BUS101,Fall2023,51.4,40.2,0.76
STU166,ENG101,Fall2024,57.5,53.4,0.5
STU167,EEE101,Spring2024,43.9,57.4,0.52
STU168,CS102,Fall2023,38.9,31.8,0.76
STU169,PHY101,Spring2025,87.0,89.3,0.48
STU170,PHY101,Spring2024,41.8,48.6,0.8
STU171,BUS101,Spring2024,32.8,36.5,0.93
STU172,EEE101,Spring2024,69.7,98.2,0.69
STU173,EEE101,Spring2024,50.1,59.4,0.6
STU174,EEE101,Fall2024,91.6,99.6,0.83
STU175,CS201,Spring2024,62.7,60.3,0.84
STU176,CHM101,Spring2025,39.0,36.0,0.88
STU177,MEC101,Fall2023,66.0,54.1,0.56
STU178,MEC101,Spring2024,79.6,72.8,0.86
STU179,EEE101,Fall2024,36.0,49.1,0.91
STU180,ENG101,Spring2024,57.0,53.9,0.61
STU181,ENG101,Fall2023,35.3,34.6,0.86
STU182,CS201,Fall2023,72.2,80.9,0.56
STU183,CS201,Spring2025,83.9,89.8,0.65
STU184,MATH301,Spring2024,30.3,31.2,0.86
STU185,MEC101,Spring2025,65.7,72.5,0.46
STU186,CS101,Spring2024,48.7,42.7,0.63
STU187,CS102,Spring2025,81.6,80.3,0.73
STU188,MATH201,Spring2024,31.1,38.3,0.56
STU189,PHY101,Spring2025,30.1,35.3,0.5
STU190,ENG101,Fall2023,73.4,74.1,0.92
STU191,MEC101,Fall2023,65.4,74.0,0.61
STU192,ENG101,Fall2024,60.6,64.7,0.81
STU193,MATH201,Fall2023,53.2,40.2,0.82
STU194,CS101,Fall2024,77.8,72.8,0.7
STU195,CHM101,Spring2025,82.9,73.2,0.94
STU196,CS201,Fall2023,61.1,51.6,0.79
STU197,MATH201,Fall2023,91.3,77.2,0.84
STU198,MATH301,Spring2025,87.6,81.2,0.94
STU199,CHM101,Spring2024,65.3,57.9,0.56
STU200,CHM101,Fall2024,86.0,72.4,0.55
STU201,ENG201,Spring2025,82.0,80.1,0.89
STU202,EEE101,Spring2025,55.1,69.3,0.6
STU203,CS102,Spring2025,81.8,74.8,0.44
STU204,MEC101,Fall2024,69.2,78.9,0.58
STU205,MATH301,Spring2025,35.2,43.4,0.73
STU206,ENG101,Spring2025,57.7,63.4,0.42
STU207,ENG201,Fall2024,86.6,81.6,0.75
STU208,CHM101,Spring2025,81.4,68.1,0.6
STU209,CS101,Spring2024,82.1,87.5,0.87
STU210,CS201,Fall2023,74.1,72.2,0.53
STU211,PHY101,Fall2023,71.9,67.8,0.73
STU212,ENG101,Spring2025,74.1,87.6,0.82
STU213,ENG201,Fall2024,67.3,68.2,0.76
STU214,BUS101,Spring2024,46.2,34.6,0.67
STU215,MATH301,Fall2024,55.2,57.1,0.79
STU216,BUS101,Spring2025,43.9,47.7,0.51
STU217,CS201,Spring2025,38.8,31.8,0.95
STU218,ENG101,Fall2024,82.7,96.7,0.79
STU219,MATH301,Spring2024,65.7,59.4,0.79
STU220,ENG101,Spring2024,90.3,91.1,0.47
STU221,EEE101,Fall2023,43.1,33.9,0.6
STU222,MEC101,Spring2024,67.2,66.2,0.74
STU223,BUS101,Spring2025,35.6,36.4,0.69
STU224,CS102,Spring2024,80.0,89.7,0.93
STU225,CHM101,Fall2024,71.8,70.3,0.47
STU226,PHY101,Spring2024,83.9,85.4,0.82
STU227,CS101,Fall2023,38.4,41.8,0.68
STU228,BUS101,Spring2024,49.8,39.7,0.59
STU229,CS102,Fall2024,91.2,97.5,0.51
STU230,CHM101,Fall2024,92.2,83.5,0.74
STU231,PHY101,Spring2024,36.1,43.5,0.49
STU232,ENG101,Fall2023,70.6,97.8,0.85
STU233,CHM101,Fall2024,31.8,30.8,0.76
STU234,CHM101,Fall2023,79.9,77.4,0.67
STU235,MATH301,Spring2025,70.8,64.5,0.53
STU236,EEE101,Fall2023,82.5,79.7,0.78
STU237,EEE101,Spring2024,40.3,40.5,0.59
STU238,ENG101,Fall2024,39.3,50.9,0.94
STU239,MEC101,Fall2023,38.5,38.7,0.58
STU240,MATH201,Spring2024,60.3,53.3,0.45
STU241,PHY101,Spring2025,48.9,45.4,0.54
STU242,ENG101,Fall2024,86.2,75.8,0.5
STU243,EEE101,Spring2025,40.4,55.3,0.88
STU244,ENG201,Spring2025,62.3,50.0,0.93
STU245,CS101,Fall2024,44.0,40.2,0.67
STU246,EEE101,Fall2024,87.4,90.5,0.7
STU247,MATH301,Fall2024,85.1,83.0,0.82
STU248,PHY101,Spring2024,53.8,50.8,0.6
STU249,EEE101,Fall2024,48.8,45.4,0.85
STU250,CS201,Fall2023,70.5,73.8,0.62
STU251,ENG101,Spring2024,81.7,76.9,0.51
STU252,CS101,Fall2023,63.1,63.1,0.48
STU253,EEE101,Spring2024,51.6,50.8,0.73
STU254,PHY101,Fall2024,63.5,58.3,0.49
STU255,MATH301,Fall2024,94.4,100,0.68
STU256,PHY101,Fall2024,63.1,62.8,0.66
STU257,CS102,Spring2025,31.1,35.3,0.72
STU258,BUS101,Fall2023,81.8,88.6,0.73
STU259,PHY101,Spring2024,47.3,52.0,0.8
STU260,CHM101,Spring2025,67.9,58.0,0.48
STU261,BUS101,Fall2023,74.2,60.1,0.5
STU262,ENG201,Spring2024,58.7,56.3,0.63
STU263,BUS101,Fall2023,80.4,93.0,0.79
STU264,CHM101,Spring2025,63.7,65.5,0.69
STU265,MEC101,Fall2024,50.4,40.6,0.7
STU266,CHM101,Fall2024,73.9,84.9,0.74
STU267,MEC101,Fall2024,42.5,36.8,0.52
STU268,MATH301,Spring2024,93.2,84.7,0.78
STU269,MEC101,Fall2024,61.8,61.2,0.56
STU270,ENG201,Fall2024,67.3,68.6,0.93
STU271,MATH301,Fall2023,82.3,76.0,0.59
STU272,EEE101,Spring2024,58.8,51.5,0.51
STU273,BUS101,Fall2024,65.0,78.0,0.48
STU274,MATH201,Fall2023,70.0,72.6,0.77
STU275,CS101,Fall2023,64.5,68.6,0.63
STU276,CS201,Fall2023,76.6,64.6,0.93
STU277,CHM101,Spring2025,93.6,82.0,0.66
STU278,ENG101,Fall2024,43.0,57.0,0.76
STU279,PHY101,Spring2024,89.0,76.3,0.69
STU280,CS201,Spring2025,77.0,90.1,0.89
STU281,ENG201,Spring2025,41.4,54.3,0.5
STU282,MATH301,Fall2023,78.7,89.9,0.41
STU283,ENG101,Fall2024,66.9,55.1,0.65
STU284,CS201,Spring2025,71.7,72.4,0.55
STU285,BUS101,Spring2025,82.6,77.5,0.76
STU286,ENG101,Fall2024,76.7,62.1,0.71
STU287,CHM101,Spring2025,79.2,69.5,0.85
STU288,CHM101,Fall2023,63.5,51.1,0.5
STU289,MATH201,Fall2023,39.1,37.8,0.54
STU290,ENG101,Fall2024,45.3,52.9,0.72
STU291,ENG101,Spring2024,67.2,60.0,0.43
STU292,ENG201,Fall2024,37.7,37.0,0.78
STU293,ENG101,Spring2024,71.5,84.7,0.52
STU294,BUS101,Fall2024,38.7,33.6,0.63
STU295,MEC101,Spring2024,65.7,64.8,0.82
STU296,CS102,Spring2025,74.2,77.1,0.69
STU297,CS102,Fall2023,53.5,66.0,0.86
STU298,MEC101,Spring2024,88.7,79.0,0.49
STU299,CHM101,Spring2024,85.5,83.5,0.79
STU300,EEE101,Fall2023,61.8,73.8,0.65
STU301,CS101,Spring2025,63.4,62.1,0.77
STU302,MATH301,Fall2023,50.0,35.7,0.81
STU303,ENG101,Fall2023,67.6,54.0,0.7
STU304,EEE101,Fall2023,33.9,46.9,0.56
STU305,CHM101,Spring2025,41.7,33.6,0.61
STU306,ENG201,Spring2025,87.9,85.1,0.44
STU307,CS201,Fall2024,92.7,97.2,0.47
STU308,CS201,Spring2024,94.5,87.6,0.86
STU309,EEE101,Spring2025,79.2,93.6,0.69
STU310,ENG101,Spring2024,83.5,75.9,0.55
STU311,CS102,Fall2023,90.9,93.4,0.85
STU312,CS101,Spring2024,57.3,65.3,0.51
STU313,PHY101,Fall2023,36.6,30.7,0.53
STU314,MEC101,Spring2024,32.9,71.1,0.81
STU315,MATH301,Spring2024,80.4,69.6,0.85
STU316,PHY101,Fall2024,77.5,72.1,0.53
STU317,MEC101,Spring2024,87.0,99.6,0.63
STU318,PHY101,Spring2024,47.9,49.6,0.74
STU319,ENG101,Spring2025,57.8,57.7,0.83
STU320,CS201,Fall2024,50.7,83.4,0.61
STU321,MATH201,Fall2024,79.0,78.2,0.87
STU322,CS101,Spring2025,39.4,41.3,0.93
STU323,MATH201,Fall2024,66.2,55.2,0.51
STU324,ENG101,Fall2023,72.0,84.7,0.69
STU325,ENG201,Fall2023,83.9,70.4,1.0
STU326,BUS101,Spring2024,42.2,50.7,0.66
STU327,CS101,Spring2024,86.5,81.0,0.92
STU328,EEE101,Spring2024,92.5,80.1,0.78
STU329,MATH201,Fall2024,75.7,72.6,0.83
STU330,ENG101,Fall2024,54.7,55.7,0.54
STU331,CS102,Spring2025,63.3,63.2,0.82
STU332,ENG101,Spring2025,50.8,41.9,0.43
STU333,CS101,Fall2024,86.2,92.5,0.7
STU334,MATH301,Spring2024,68.0,74.6,0.51
STU335,MATH201,Spring2025,45.0,47.1,0.7
STU336,EEE101,Spring2025,91.3,84.3,0.65
STU337,CS201,Spring2025,77.6,73.2,0.5
STU338,CS101,Fall2023,87.8,99.7,0.86
STU339,CS101,Fall2023,34.8,46.2,0.63
STU340,BUS101,Spring2024,84.8,76.7,0.41
STU341,PHY101,Spring2025,62.9,59.1,0.76
STU342,ENG201,Fall2023,31.0,38.5,1.0
STU343,MATH301,Fall2023,76.9,78.0,0.68
STU344,CS201,Fall2023,75.4,73.3,0.9
STU345,PHY101,Fall2024,64.1,56.3,0.85
STU346,ENG101,Spring2025,47.4,44.3,0.65
STU347,MATH301,Fall2023,45.8,51.7,0.76
STU348,CS102,Spring2025,85.8,93.0,0.61
STU349,CS101,Spring2024,65.9,52.6,0.45
STU350,ENG101,Fall2023,84.9,89.2,0.89
STU351,BUS101,Spring2025,89.7,80.5,0.55
STU352,MATH301,Fall2023,90.1,92.1,0.5
STU353,MATH201,Spring2024,85.3,100,0.81
STU354,CS102,Fall2024,76.3,73.2,0.49
STU355,ENG201,Fall2024,45.6,55.6,0.61
STU356,BUS101,Fall2023,78.1,86.8,0.68
STU357,ENG201,Spring2024,93.3,79.5,0.86
STU358,PHY101,Spring2025,52.1,60.2,0.93
STU359,EEE101,Spring2025,51.2,55.2,0.53
STU360,CS201,Spring2025,65.9,62.2,0.45
STU361,BUS101,Fall2023,70.2,79.1,0.45
STU362,CHM101,Spring2024,40.0,47.8,0.81
STU363,CS101,Fall2024,50.6,38.8,0.64
STU364,CS102,Spring2024,79.5,67.6,0.64
STU365,CS102,Fall2023,66.2,66.6,0.45
STU366,ENG101,Spring2025,66.0,68.9,0.41
STU367,BUS101,Spring2024,56.9,65.3,0.71
STU368,CS201,Fall2024,41.0,39.9,0.57
STU369,ENG201,Fall2024,62.1,49.0,0.63
STU370,MATH301,Spring2024,61.5,48.8,0.8
STU371,EEE101,Fall2023,62.2,65.7,0.47
STU372,PHY101,Spring2025,30.4,36.1,0.84
STU373,CHM101,Spring2024,51.4,46.4,0.57
STU374,EEE101,Fall2024,69.2,75.1,0.5
STU375,BUS101,Spring2025,55.9,50.5,0.93
STU376,MATH301,Spring2025,80.8,75.6,0.6
STU377,MEC101,Spring2024,90.6,80.5,0.77
STU378,EEE101,Spring2024,65.8,79.4,0.64
STU379,ENG201,Spring2025,48.9,54.7,0.48
STU380,CS201,Spring2025,49.7,42.3,0.83
STU381,EEE101,Spring2025,34.8,49.6,0.69
STU382,ENG201,Fall2023,90.0,96.7,1.0
STU383,MEC101,Fall2023,53.4,65.3,0.46
STU384,CS201,Fall2023,46.1,51.0,0.71
STU385,ENG101,Spring2025,71.9,76.3,0.46
STU386,BUS101,Spring2024,36.4,34.8,0.65
STU387,PHY101,Spring2024,55.4,63.6,0.59
STU388,ENG201,Fall2023,31.6,31.7,1.0
STU389,MATH301,Fall2024,91.1,79.5,0.65
STU390,EEE101,Fall2023,43.4,43.7,0.64
STU391,MATH301,Fall2023,75.3,69.9,0.85
STU392,CHM101,Fall2023,37.5,49.1,0.77
STU393,MATH201,Spring2024,40.7,80.6,0.7
STU394,EEE101,Spring2024,51.5,49.3,0.84
STU395,CHM101,Spring2025,70.9,61.5,0.62
STU396,EEE101,Spring2025,77.9,89.4,0.61
STU397,BUS101,Fall2023,75.8,67.0,0.72
STU398,ENG101,Fall2024,82.0,83.1,0.51
STU399,EEE101,Fall2024,37.4,45.0,0.73
STU400,ENG101,Fall2024,69.7,72.3,0.87
STU401,BUS101,Fall2024,70.1,79.5,0.91
STU402,ENG101,Fall2023,68.4,73.6,0.53
STU403,CS201,Spring2025,37.6,38.4,0.63
STU404,CS201,Spring2025,39.0,39.2,0.75
STU405,CS201,Spring2024,75.1,79.5,0.67
STU406,EEE101,Fall2023,39.1,37.6,0.88
STU407,MATH201,Spring2025,91.9,88.1,0.93
STU408,CHM101,Spring2025,62.9,62.7,0.63
STU409,CS102,Fall2023,84.6,84.3,0.84
STU410,MATH201,Fall2024,44.3,31.0,0.49
STU411,EEE101,Fall2023,59.7,67.0,0.71
STU412,ENG101,Fall2023,47.4,48.7,0.82
STU413,ENG201,Fall2023,58.7,50.3,1.0
STU414,CS101,Spring2025,72.5,64.9,0.54
STU415,CS102,Spring2024,86.0,73.5,0.52
STU416,BUS101,Spring2025,77.9,83.6,0.49
STU417,MATH201,Fall2023,39.1,35.0,0.71
STU418,CS201,Fall2024,64.6,67.5,0.94
STU419,MEC101,Fall2023,49.0,51.2,0.47
STU420,CS101,Fall2024,78.8,76.1,0.88
STU421,MATH201,Spring2024,38.2,50.1,0.79
STU422,CHM101,Spring2025,83.9,91.7,0.67
STU423,ENG201,Spring2025,67.5,60.6,0.65
STU424,CS102,Spring2025,71.2,82.6,0.68
STU425,ENG101,Spring2025,48.1,61.2,0.92
STU426,BUS101,Fall2023,51.3,36.4,0.8
STU427,ENG101,Fall2023,59.8,64.7,0.84
STU428,MATH201,Spring2025,55.9,69.9,0.55
STU429,PHY101,Spring2024,83.8,78.9,0.71
STU430,CHM101,Fall2023,61.5,56.8,0.43
STU431,CS101,Fall2023,70.7,80.8,0.91
STU432,ENG201,Spring2024,40.3,41.5,0.95
STU433,MATH301,Spring2024,89.1,96.9,0.88
STU434,ENG101,Fall2024,87.0,74.6,0.45
STU435,CS101,Spring2025,73.2,77.7,0.74
STU436,ENG201,Fall2023,77.2,84.9,1.0
STU437,CS201,Spring2024,30.1,37.2,0.69
STU438,ENG101,Fall2023,58.9,44.1,0.94
STU439,CS102,Spring2024,57.5,46.5,0.61
STU440,ENG101,Fall2024,77.5,65.6,0.88
STU441,CS201,Spring2024,38.9,48.5,0.44
STU442,CS201,Spring2025,66.6,69.9,0.59
STU443,ENG201,Spring2025,43.8,51.6,0.87
STU444,CS102,Spring2025,35.6,32.1,0.59
STU445,MATH201,Fall2024,57.9,66.6,0.75
STU446,BUS101,Fall2024,46.1,49.1,0.83
STU447,CHM101,Fall2024,74.9,85.3,0.51
STU448,ENG201,Fall2024,69.5,60.2,0.76
STU449,MATH201,Spring2025,80.9,89.7,0.61
STU450,CS102,Fall2023,45.7,49.8,0.94
STU451,PHY101,Spring2025,90.7,78.9,0.6
STU452,CS102,Fall2023,74.4,82.3,0.72
STU453,CS101,Spring2025,30.9,33.4,0.68
STU454,ENG201,Spring2025,70.9,70.9,0.79
STU455,PHY101,Spring2024,35.4,40.9,0.55
STU456,MATH201,Spring2024,50.1,50.4,0.7
STU457,CHM101,Fall2023,55.4,59.4,0.57
STU458,MATH201,Fall2023,58.4,72.0,0.53
STU459,PHY101,Fall2023,90.1,78.0,0.57
STU460,CS102,Fall2023,78.2,85.4,0.79
STU461,ENG101,Fall2024,75.6,65.5,0.49
STU462,MATH301,Fall2023,38.3,48.2,0.82
STU463,MATH301,Fall2023,31.9,43.6,0.54
STU464,EEE101,Spring2025,93.4,92.0,0.68
STU465,CS201,Fall2024,33.6,46.0,0.49
STU466,CHM101,Fall2023,80.3,92.1,0.53
STU467,CS101,Spring2024,63.1,49.4,0.43
STU468,CS201,Fall2023,53.7,66.3,0.7
STU469,ENG201,Spring2024,89.4,93.4,0.58
STU470,MATH301,Fall2023,57.1,63.7,0.71
STU471,CS101,Spring2024,37.8,45.4,0.52
STU472,ENG201,Fall2023,63.5,49.9,1.0
STU473,MATH301,Fall2024,86.3,93.5,0.45
STU474,MATH301,Fall2024,59.7,55.8,0.81
STU475,EEE101,Spring2024,45.8,41.8,0.8
STU476,CS201,Fall2023,65.5,74.4,0.91
STU477,CHM101,Fall2023,31.6,39.0,0.92
STU478,BUS101,Fall2024,30.1,39.9,0.46
STU479,EEE101,Fall2023,64.4,56.5,0.93
STU480,CS101,Spring2024,39.3,36.8,0.89
STU481,ENG101,Spring2025,63.8,69.8,0.94
STU482,CS201,Spring2025,35.5,32.0,0.44
STU483,CS201,Spring2024,66.9,64.9,0.56
STU484,ENG201,Fall2024,85.3,97.8,0.57
STU485,MATH201,Spring2024,47.7,34.9,0.83
STU486,CS201,Spring2025,68.0,57.7,0.66
STU487,MATH201,Spring2025,56.4,57.5,0.57
STU488,CS201,Fall2024,47.2,35.8,0.85
STU489,ENG101,Spring2024,75.3,61.5,0.45
STU490,MEC101,Fall2023,46.1,41.8,0.77
STU491,CS101,Spring2025,46.9,61.6,0.87
STU492,CS102,Spring2025,66.1,67.6,0.46
STU493,CS101,Spring2024,81.6,70.2,0.47
STU494,CHM101,Fall2023,83.5,79.7,0.72
STU495,CS101,Fall2023,46.8,56.2,0.51
STU496,CS102,Fall2024,72.0,81.3,0.47
STU497,PHY101,Spring2025,91.2,77.4,0.85
STU498,CHM101,Spring2025,55.7,41.6,0.5
STU499,MATH301,Spring2025,44.0,35.4,0.89
STU500,MATH201,Fall2024,32.3,40.7,0.67
STU501,CS102,Fall2024,87.4,85.6,0.61
STU502,MEC101,Spring2024,57.3,61.6,0.75
STU503,ENG201,Fall2024,82.1,90.9,0.66
STU504,PHY101,Fall2024,80.8,76.1,0.61
STU505,MATH201,Fall2023,41.7,38.5,0.89
STU506,EEE101,Fall2024,80.6,67.4,0.82
STU507,CS102,Spring2024,95.0,99.5,0.76
STU508,BUS101,Fall2023,47.3,56.8,0.82
STU509,ENG201,Fall2024,91.6,90.1,0.91
STU510,MATH201,Fall2024,94.5,83.1,0.84
STU511,CS101,Fall2024,75.3,87.7,0.92
STU512,MATH201,Spring2025,66.6,68.5,0.7
STU513,CS101,Spring2024,41.4,31.0,0.73
STU514,ENG101,Spring2024,31.3,37.8,0.84
STU515,ENG101,Fall2023,52.1,42.4,0.41
STU516,CS102,Fall2024,68.1,96.3,0.93
STU517,ENG201,Fall2023,54.3,67.6,1.0
STU518,BUS101,Spring2025,51.0,65.3,0.84
STU519,CS201,Fall2024,92.4,92.1,0.52
STU520,MATH301,Fall2024,68.3,58.6,0.47
STU521,PHY101,Spring2025,77.4,90.9,0.87
