course_id,section_id,instructor_id,semester,avg_grade,historical_mean,historical_std
ENG101,001,INST034,Spring2024,68.4,67.6,3.7
ENG101,001,INST012,Fall2024,62.4,64.8,7.3
ENG101,001,INST026,Spring2025,67.1,63.2,3.8
ENG101,002,INST039,Fall2023,63.2,64.2,7.1
ENG101,002,INST037,Spring2024,69.6,62.7,3.8
ENG101,002,INST046,Fall2024,70.0,71.4,7.2
ENG101,002,INST042,Spring2025,65.7,67.7,4.6
ENG101,003,INST005,Fall2023,70.4,67.4,4.8
ENG101,003,INST007,Spring2024,63.7,62.2,6.0
ENG101,003,INST023,Fall2024,62.4,63.3,4.4
ENG101,003,INST011,Spring2025,77.9,77.9,7.0
ENG201,001,INST042,Fall2023,69.3,69.9,5.7
ENG201,001,INST043,Spring2024,72.9,71.5,6.2
ENG201,001,INST007,Fall2024,63.0,63.9,7.0
ENG201,001,INST014,Spring2025,74.7,75.4,4.1
ENG201,002,INST017,Fall2023,77.0,74.9,4.3
ENG201,002,INST004,Spring2024,75.4,71.1,4.5
ENG201,002,INST001,Fall2024,62.9,63.7,5.2
ENG201,002,INST011,Spring2025,72.8,68.0,4.0
ENG201,003,INST001,Fall2023,75.7,75.3,5.7
ENG201,003,INST010,Spring2024,66.5,64.0,7.3
ENG201,003,INST010,Fall2024,73.5,71.8,6.8
ENG201,003,INST003,Spring2025,69.6,69.7,3.7
EEE101,001,INST007,Fall2023,77.2,78.2,4.3
EEE101,001,INST040,Spring2024,72.4,68.4,5.7
EEE101,001,INST011,Fall2024,74.4,75.5,7.2
EEE101,001,INST002,Spring2025,83.7,79.6,6.7
EEE101,002,INST027,Fall2023,68.5,65.2,7.2
EEE101,002,INST018,Spring2024,79.9,76.4,7.0
EEE101,002,INST003,Fall2024,65.0,64.9,6.3
EEE101,002,INST030,Spring2025,81.0,77.5,4.4
EEE101,003,INST015,Fall2023,72.3,68.3,6.8
EEE101,003,INST005,Spring2024,62.0,62.4,4.3
EEE101,003,INST026,Fall2024,81.5,79.4,4.6
EEE101,003,INST002,Spring2025,73.8,74.2,6.9
MEC101,001,INST017,Fall2023,62.5,64.1,7.4
MEC101,001,INST021,Spring2024,62.5,62.7,5.9
MEC101,001,INST037,Fall2024,67.8,69.9,7.4
MEC101,001,INST034,Spring2025,65.9,65.4,3.7
MEC101,002,INST048,Fall2023,81.5,78.7,5.7
MEC101,002,INST043,Spring2024,75.8,75.3,4.3
MEC101,002,INST008,Fall2024,80.9,78.6,6.0
MEC101,002,INST027,Spring2025,74.5,75.0,4.7
MEC101,003,INST013,Fall2023,69.3,67.9,6.3
MEC101,003,INST012,Spring2024,72.0,69.6,7.3
MEC101,003,INST001,Fall2024,74.5,73.1,4.7
MEC101,003,INST039,Spring2025,70.8,67.5,4.3
PHY101,001,INST014,Fall2023,74.3,73.8,5.4
PHY101,001,INST048,Spring2024,75.9,71.2,6.7
PHY101,001,INST041,Fall2024,66.2,65.1,3.8
PHY101,001,INST016,Spring2025,77.7,73.1,3.9
PHY101,002,INST002,Fall2023,72.7,74.1,4.4
PHY101,002,INST050,Spring2024,64.7,62.8,7.4
PHY101,002,INST013,Fall2024,65.3,63.3,5.2
PHY101,002,INST010,Spring2025,75.1,74.9,5.0
PHY101,003,INST050,Fall2023,76.8,73.8,3.5
PHY101,003,INST045,Spring2024,76.7,77.9,6.6
PHY101,003,INST008,Fall2024,70.3,71.3,3.7
PHY101,003,INST036,Spring2025,90.4,70.2,6.7
CHM101,001,INST040,Fall2023,76.8,72.7,7.3
CHM101,001,INST036,Spring2024,98.4,76.7,7.1
CHM101,001,INST029,Fall2024,73.9,70.0,4.1
CHM101,001,INST050,Spring2025,68.8,66.7,4.5
CHM101,002,INST029,Fall2023,74.9,76.0,5.4
CHM101,002,INST021,Spring2024,62.6,63.4,4.6
CHM101,002,INST025,Fall2024,76.3,78.1,3.8
CHM101,002,INST027,Spring2025,72.0,74.5,6.3
CHM101,003,INST027,Fall2023,65.5,68.0,5.4
CHM101,003,INST002,Spring2024,73.6,69.0,6.6
CHM101,003,INST001,Fall2024,77.4,77.4,6.6
CHM101,003,INST027,Spring2025,79.1,79.0,4.7
BUS101,001,INST015,Fall2023,75.1,71.7,6.4
BUS101,001,INST025,Spring2024,71.7,70.8,4.6
BUS101,001,INST011,Fall2024,68.3,68.1,6.2
BUS101,001,INST035,Spring2025,81.9,77.1,7.2
BUS101,002,INST002,Fall2023,64.0,62.5,5.1
BUS101,002,INST012,Spring2024,67.4,63.5,5.2
BUS101,002,INST021,Fall2024,61.6,62.9,5.0
BUS101,002,INST027,Spring2025,67.3,68.1,7.0
BUS101,003,INST035,Fall2023,63.7,66.5,3.8
BUS101,003,INST005,Spring2024,61.7,62.9,7.3
BUS101,003,INST016,Fall2024,79.1,76.1,6.1
BUS101,003,INST009,Spring2025,63.8,65.6,3.6
